data_format,postcode,year_completed,clue_small_area,clue_block,street_address,property_id,floors_above,resi_dwellings,studio_dwe,one_bdrm_dwe,two_bdrm_dwe,three_bdrm_dwe,student_apartments,student_beds,student accommodation units,intitutional_accom_beds,hotel_rooms,serviced_apartments,hotels_serviced_apartments,hostel_beds,childcare_places,office_flr,retail_flr,industrial_flr,storage_flr,education_flr,hospital_flr,recreation_flr,publicdispaly_flr,community_flr,car_spaces,bike_spaces,town_planning_application_no,Location 1
Pre May 16,3003,2012.0,West Melbourne (Residential),411,1-13 Abbotsford Street WEST MELBOURNE VIC 3003,100001,3.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-37.80791988, 144.9432805)"
Pre May 16,3051,2006.0,North Melbourne,342,191-201 Abbotsford Street NORTH MELBOURNE VIC 3051,100023,2.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-37.80282184, 144.9450298)"
Pre May 16,3051,2005.0,North Melbourne,333,218-224 Abbotsford Street NORTH MELBOURNE VIC 3051,100119,3.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-37.80204879, 144.9459475)"
Pre May 16,3003,2013.0,West Melbourne (Residential),414,56-62 Abbotsford Street WEST MELBOURNE VIC 3003,100144,4.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-37.80679128, 144.9447186)"
Pre May 16,3000,2011.0,Melbourne (CBD),104,150-154 A'Beckett Street MELBOURNE VIC 3000,100163,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,0,0,0,0,0,0,0,"(-37.80959665, 144.9589709)"
Pre May 16,3003,2002.0,West Melbourne (Residential),401,7-21 Anderson Street WEST MELBOURNE VIC 3003,100435,5.0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-37.80477682, 144.9415469)"
Pre May 16,3003,2014.0,West Melbourne (Residential),409,1-9 Stawell Street WEST MELBOURNE VIC 3003,100441,3.0,28,0,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,"(-37.80607291, 144.9421029)"
Pre May 16,3051,2015.0,North Melbourne,314,302-308 Arden Street NORTH MELBOURNE VIC 3051,100509,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064,0,0,0,0,0,0,24,6,0,"(-37.79925034, 144.9377236)"
Pre May 16,3051,2009.0,North Melbourne,315,North Melbourne Recreation Reserve 204-206 Arden Street NORTH MELBOURNE VIC 3051,100514,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768,101,0,0,0,0,2494,0,0,0,0,0,"(-37.79892607, 144.9414326)"
Pre May 16,3051,2004.0,North Melbourne,330,162-168 Arden Street NORTH MELBOURNE VIC 3051,100519,2.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-37.80032041, 144.9462277)"
